time / s, flags, speedup
43.68,lulesh2.0_3_21_ -fomit-frame-pointer -floop-interchange -flto,-4.09
43.69,lulesh2.0_2_19_ -floop-strip-mine -flto,-4.1
43.70,lulesh2.0_5_17_ -fomit-frame-pointer -floop-block -floop-interchange -funroll-loops -flto,-4.11
43.73,lulesh2.0_4_34_ -floop-interchange -floop-strip-mine -funroll-loops -flto,-4.14
43.74,lulesh2.0_4_22_ -fomit-frame-pointer -floop-block -floop-interchange -flto,-4.15
43.76,lulesh2.0_3_33_ -floop-interchange -funroll-loops -flto,-4.17
43.76,lulesh2.0_4_25_ -fomit-frame-pointer -floop-block -funroll-loops -flto,-4.17
43.77,lulesh2.0_3_24_ -fomit-frame-pointer -funroll-loops -flto,-4.18
43.77,lulesh2.0_3_27_ -floop-block -floop-interchange -flto,-4.18
43.77,lulesh2.0_4_29_ -fomit-frame-pointer -floop-strip-mine -funroll-loops -flto,-4.18
43.78,lulesh2.0_3_34_ -floop-strip-mine -funroll-loops -flto,-4.19
43.86,lulesh2.0_4_24_ -fomit-frame-pointer -floop-block -floop-strip-mine -flto,-4.27
43.88,lulesh2.0_5_16_ -fomit-frame-pointer -floop-block -floop-interchange -floop-strip-mine -flto,-4.29
43.89,lulesh2.0_3_32_ -floop-interchange -floop-strip-mine -flto,-4.3
43.94,lulesh2.0_4_31_ -floop-block -floop-interchange -floop-strip-mine -flto,-4.35
43.98,lulesh2.0_2_0_ -march=native -fomit-frame-pointer,-4.39
44.03,lulesh2.0_2_14_ -floop-block -flto,-4.44
44.18,lulesh2.0_2_10_ -fomit-frame-pointer -flto,-4.59
